"","mixture_collection","indiv","repunit","collection","PofZ","log_likelihood","z_score","n_non_miss_loci","n_miss_loci","missing_loci"
"21","krista","gtseq3_H-14-MI-V0233","miniatus","miniatus","1","-32.4954049250012","-0.752125933272153","65","25","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1880.1 = 39, tag_id_1889.1 = 40, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_855.1 = 83, tag_id_874.1 = 84, tag_id_875.1 = 85, 
tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88)"
"22","krista","gtseq3_H-14-MI-V0234","miniatus","miniatus","1","-46.34936326367","-1.59208689265631","75","15","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"23","krista","gtseq3_H-14-MI-V0237","miniatus","miniatus","1","-48.6278442713399","-1.69945275881326","81","9","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"24","krista","gtseq3_H-14-MI-V0240","miniatus","miniatus","1","-33.590290003461","0.260062170676412","82","8","c(Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_942.1 = 88)"
"25","krista","gtseq3_H-14-MI-V0241","miniatus","miniatus","1","-52.4272921974342","-1.93415998036928","82","8","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_942.1 = 88)"
"26","krista","gtseq3_H-14-MI-V0242","miniatus","miniatus","1","-45.7807432010114","-2.61319149957089","65","25","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_162.1 = 26, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1880.1 = 39, tag_id_1889.1 = 40, tag_id_1950.1 = 42, tag_id_1966.2 = 44, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_410.1 = 75, tag_id_874.1 = 84, 
tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"27","krista","gtseq3_H-14-MI-V0243","miniatus","miniatus","1","-44.3228078462243","-0.88615284564804","84","6","c(Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2368.1 = 67, tag_id_942.1 = 88)"
"28","krista","gtseq3_H-14-MI-V0244","miniatus","miniatus","1","-42.7210260361106","-1.12386916287384","79","11","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"29","krista","gtseq3_H-14-MI-V0246","miniatus","miniatus","1","-48.1045421530839","-2.57592564793378","69","21","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88)"
"30","krista","gtseq3_H-14-MI-V0249","miniatus","miniatus","1","-117.916556776685","-11.6967538815728","71","19","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_162.1 = 26, tag_id_1652.1 = 27, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_2635.1 = 71, tag_id_843.1 = 82, tag_id_874.1 = 84, tag_id_913.1 = 87, tag_id_981.1 = 89)"
